epoch,train_total,train_data,train_phys,train_ou,train_bc,train_sr,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,prodigy_d,prodigy_d_max,prodigy_lr_eff
1,0.43567054373653313,0.4107355189166571,0.22078728236650166,0.057125874010747986,0.0,0.01721618284814452,0.2757689448747229,0.2675387480474533,0.07422743908109818,0.01614906007741043,0.0,0.01637436334598572,0.00025433953125469813,2.7743632528342697,0.02207077657209432,262.8789150714874,nan,nan,nan
2,0.2337739950340045,0.22700755541261874,0.05472685087864336,0.025875109909592492,0.0,0.01571547422362001,0.22016805965215602,0.21413364269314927,0.048071530290899125,0.024545281372488813,0.0,0.015353265921882492,0.00041079638133661414,2.1664279547961134,0.02612868141620717,262.1636037826538,nan,nan,nan
3,0.2083030089343849,0.20312742547769297,0.043388942883987175,0.01673380224965513,0.0,0.014976978586300423,0.20062491258091114,0.1955299069906803,0.04001855709530572,0.021863025008760233,0.0,0.014605313549412692,0.000650477679367886,2.076181053017315,0.029192133628307505,262.59417271614075,nan,nan,nan
4,0.20929296695088084,0.2039288247494321,0.045875422298712165,0.015531997168191562,0.0,0.014169522590543094,0.1917453516036906,0.18762202338969453,0.03669097514307879,0.009084601926201202,0.0,0.013699034813474467,0.0009444408267139869,2.549441373426663,0.03300635163929868,257.11253356933594,nan,nan,nan
5,0.20596894735568447,0.20075334996769303,0.04392511194669887,0.016461732821833146,0.0,0.013425921305621926,0.21635869787411488,0.20994861780646,0.04593222420860795,0.036337113146610714,0.0,0.013831917067712291,0.0012571884464128223,2.682099193726715,0.03244703068853693,255.80472087860107,nan,nan,nan
6,0.21002251639177924,0.20500015628181006,0.04429216955445315,0.011862866483065055,0.0,0.014393930754771357,0.22473444393340578,0.21877790440587289,0.05048336917930778,0.01816405927603866,0.0,0.01516629516721723,0.0015509548516744861,1.905112262815237,0.026888976626573725,255.67655181884766,nan,nan,nan
7,0.20374430535655272,0.19890205515058418,0.04278075183790765,0.011283498266589288,0.0,0.015317954015182822,0.2013644337495591,0.1962366812723748,0.04059826358756487,0.021358501968627916,0.0,0.015978352820619622,0.0017902664230316538,1.3716924052293364,0.023638274025251257,255.26148653030396,nan,nan,nan
8,0.20986636249642623,0.20450621945293326,0.04442539685650876,0.018352069138965914,0.0,0.015532961571098942,0.20898433362549923,0.203200314035441,0.043417791291040946,0.028844817789231845,0.0,0.015377650701222902,0.0019462252080146049,1.6396114870121605,0.026043024706713696,255.28520488739014,nan,nan,nan
9,0.2060458137408683,0.20070286483356828,0.04432103648095539,0.01821689287102536,0.0,0.015800044278761274,0.1940001613916235,0.18941362384468952,0.037097768659921405,0.017535215209020263,0.0,0.015792653796837686,0.0019999996903369236,1.4831275118808998,0.0243837791594102,255.36615347862244,nan,nan,nan
10,0.19234729232756714,0.1876374189006655,0.03752057512878979,0.0191563276794592,0.0,0.01631148233029403,0.19190541401188424,0.1873006779462733,0.036731303411912414,0.018632126645125608,0.0,0.017581146686001026,0.0019887244556581482,1.4365575957062997,0.017431436601946963,254.3757574558258,nan,nan,nan
11,0.19788405518782767,0.1931190854624698,0.03952936884015799,0.016240674858961843,0.0,0.01706031433943855,0.20090886252991697,0.19625808900975167,0.04046116768323044,0.012093154906711362,0.0,0.01584082394045718,0.0019553850888055007,1.4136320779198095,0.024170608180475995,254.2092728614807,nan,nan,nan
12,0.19883749924207988,0.19413228815323427,0.03956551710143685,0.014973195421656496,0.0,0.016348047015306198,0.19014038652815718,0.18592241731412867,0.03615036855471578,0.012058644684309021,0.0,0.016225685504205684,0.001900726336142824,1.6698244665014117,0.022659682193176545,253.68012619018555,nan,nan,nan
13,0.19502723405235692,0.1903757389046644,0.038763621459273916,0.015502647842329584,0.0,0.01650219081753963,0.18346886685554017,0.17943025039548569,0.033802341327982696,0.013167636241129738,0.0,0.017003825885501315,0.0018259691838837316,1.5058123772081575,0.01962837676933788,252.32955050468445,nan,nan,nan
14,0.20200808758014127,0.19691530301382668,0.042433726841485817,0.016988255404622146,0.0,0.017069013205994115,0.19410441165908854,0.18966335391110561,0.03740718423765391,0.01400678584530474,0.0,0.017593674678751763,0.0017327835832772168,1.6785782181902935,0.01738447856475064,252.71533131599426,nan,nan,nan
15,0.18922495889036278,0.18458937037932246,0.03721725094181142,0.018277287076374417,0.0,0.017049069962415255,0.17907988826962226,0.17501296538938868,0.032101768019430814,0.017134908685817362,0.0,0.01594194883797714,0.0016232511466562594,1.4198338389004532,0.02378378221963314,251.87557578086853,nan,nan,nan
16,0.17037621226749922,0.1664866157268223,0.02946377250267879,0.01886439765558431,0.0,0.015589305890822096,0.18490853572779514,0.18090474906753987,0.033970800466201406,0.012134157121181488,0.0,0.01557290749228064,0.001499818647658068,1.2217066239369543,0.02525112231044059,252.94301748275757,nan,nan,nan
17,0.17483357493030396,0.17083384661298048,0.03118357789016476,0.017627431383650555,0.0,0.014739080685141839,0.17488338045300322,0.17119287160482813,0.030625787345652886,0.012558596010537857,0.0,0.01423638411104045,0.0013652433643441984,1.8189119876999604,0.030741014121536243,254.3257818222046,nan,nan,nan
18,0.1737213147706107,0.16992714271733636,0.03039786381352889,0.015087719006757988,0.0,0.01378933557946431,0.19124391508546282,0.18708006427326102,0.03671401182308476,0.009849002614538086,0.0,0.014603018453542857,0.0012225314861649204,1.7945149258563393,0.02921793673266756,254.4599208831787,nan,nan,nan
19,0.1741310632150424,0.17041210767469908,0.030650267867665542,0.013078569547322236,0.0,0.014014386160201148,0.19333818594508984,0.18904102419285065,0.03732873092187529,0.011285763184361636,0.0,0.014803923785369447,0.001074870960654479,1.6508671914276323,0.028413498417494146,254.3931655883789,nan,nan,nan
20,0.1704428053608066,0.16686337978432053,0.029989809851701323,0.011608869440265393,0.0,0.01401515256515459,0.16880274635363132,0.16550917495438394,0.02844921812573646,0.008972982623356772,0.0,0.013677346371510562,0.0009255602799511045,1.7764529385064778,0.03311727477356474,253.99107599258423,nan,nan,nan
21,0.17238481025162497,0.16880810919560885,0.030635697321083986,0.0102626231584796,0.0,0.013716216694171491,0.16796510222744435,0.1646126315314719,0.02818402124846235,0.01068137492489149,0.0,0.013017843209920412,0.0007779347979332381,2.071730262041092,0.03598293218206852,254.3704001903534,nan,nan,nan
22,0.17219270283454344,0.1685972385108471,0.03047718183921748,0.010954925523286587,0.0,0.013348820011474584,0.17058309698675542,0.1670480101825075,0.02913569629271614,0.012430322391198987,0.0,0.012688995537130123,0.000635292223925392,2.0664119017751594,0.03743971404718592,253.45816135406494,nan,nan,nan
23,0.1744805583828374,0.17087856891908143,0.031121849954912538,0.009796114050244031,0.0,0.013616310388438012,0.1664752921366945,0.16321332316766393,0.027650133082445,0.009939108341139681,0.0,0.012526608161390462,0.0005008189573211445,2.3289090404385013,0.038170636314502425,252.8921127319336,nan,nan,nan
24,0.16877170260015287,0.16528520031194938,0.029062786749809198,0.011604473227635026,0.0,0.012715699641328109,0.16724401973980538,0.1638946185245159,0.027949958564119137,0.01108809675466507,0.0,0.012741075838579143,0.00037751890868604977,1.7686023950576781,0.037213047470976694,251.31426072120667,nan,nan,nan
25,0.17275240778138762,0.16918507116405587,0.030528392471177012,0.010289956286157432,0.0,0.012831377350774251,0.18807182730512417,0.18400647396102865,0.03527378001587188,0.010759486237223795,0.0,0.01303190499187467,0.0002681463973594194,2.9132863463539826,0.0359537009585728,252.1722927093506,nan,nan,nan
26,0.17267097301389042,0.16908988168365077,0.030609883863086763,0.010402055937600763,0.0,0.012735167880983729,0.16778459043261854,0.164524283894199,0.02797296258838887,0.009260232357229007,0.0,0.012236190920180462,0.00017514462451165516,54.92734125303595,0.0394825165140185,252.36984062194824,nan,nan,nan
27,0.1600555848918463,0.15695354526764468,0.026203992526586117,0.00963279859309918,0.0,0.012197314227293981,0.171046200901904,0.16767235900810423,0.029304801635047856,0.008867223434982465,0.0,0.011937557749370945,0.0001005910960673733,73225714938.65224,0.040857747950135394,252.35085248947144,nan,nan,nan
28,0.1649922111708867,0.1617285073195633,0.02802826687203426,0.009217535434780936,0.0,0.012478613427006884,0.1698192370698807,0.16647626570564636,0.02858614689729949,0.009687148797464497,0.0,0.012035818512927978,4.6151214656021323e-05,26538.857549896053,0.04039884382422934,251.35394144058228,nan,nan,nan
29,0.1714117337998591,0.16794838528884085,0.030272293301593315,0.008722394403364314,0.0,0.012347767178557421,0.1666765180515482,0.1634826498462799,0.02782864619957957,0.008220067465717488,0.0,0.012112857298331057,1.3041077269132976e-05,5.282056090078856,0.04004442057711013,251.4177234172821,nan,nan,nan
30,0.1623953658499216,0.15923510597724663,0.027153865407270036,0.008897491235678134,0.0,0.012257636813937049,0.166566096484027,0.16337821585066775,0.027790130284476154,0.008177360574259086,0.0,0.012043460589298543,2.000309663076512e-06,4.567043135040684,0.040363999261976556,251.69512462615967,nan,nan,nan
