offset,a_mem,a_memless,abs_accel
-10,0.6360556964270964,1.0292099350798123,0.797973154665235
-9,0.6323113486762397,1.0296041866090955,0.8039767144798028
-8,0.6315868573538395,1.0298442719631438,0.8102413238220251
-7,0.6318843881531074,1.0301387755627225,0.8163161451839951
-6,0.6326408514038099,1.0304727361055832,0.823810672801762
-5,0.6332733198534943,1.0307631824084726,0.8283834921999162
-4,0.6339687144538597,1.03097749333523,0.8353196098368251
-3,0.6346823748313541,1.0314468266267887,0.841028290709018
-2,0.6354884501406602,1.031663266635244,0.8474284624646935
-1,0.6362847956006902,1.032090200576093,0.8523185643354824
0,0.6365944662789557,1.0308973292893617,0.8957823689303239
1,0.6374795957303288,1.0328369894991356,0.847953700200572
2,0.6388622503406223,1.0334709861421787,0.8385350885119
3,0.6398905114341249,1.0339435182563081,0.8274248556392897
4,0.6405947914052225,1.0343698546077411,0.818243109121916
5,0.6414639804131648,1.0349142637500188,0.8082168839295276
6,0.6421794537594863,1.035287984326884,0.7993151490269267
7,0.6426825882708225,1.0355364717854716,0.7891034502816474
8,0.6433632050685746,1.035835458331161,0.7806360294411318
9,0.644151448622906,1.036143352972445,0.77073169899094
10,0.644643592402189,1.0364487699095442,0.7619423994999894
