arm,eff_rank,dead_neurons
PE_t05_gp0002,8.14,0
ADAM_lr1e3_t08,3.98,0
ADAM_lr1e3_t10,3.44,0
ADAM_lr1e3_t12,3.26,0
ADAM_lr1e3_t14,2.98,0
ADAM_lr2e3_t08,4.73,0
ADAM_lr2e3_t10,4.43,0
ADAM_lr2e3_t12,4.09,0
ADAM_lr2e3_t14,2.96,0
ADAM_lr3e3_t08,5.08,0
ADAM_lr3e3_t10,5.27,0
ADAM_lr3e3_t12,4.05,0
ADAM_lr3e3_t14,3.23,0
ADAM_lr5e4_t08,3.15,0
ADAM_lr5e4_t10,3.03,0
ADAM_lr5e4_t12,2.84,0
ADAM_lr5e4_t14,2.79,0
A_lr15e2_t05_r16,11.03,0
A_lr1e2_t04_r16,10.31,0
A_lr1e2_t05_r16,9.64,0
A_lr1e2_t05_r16_noDEC,10.3,0
A_lr1e2_t06_r16,10.91,0
A_lr5e3_t04_r16,10.84,0
A_lr5e3_t05_r16,10.07,1
A_lr5e3_t06_r16,9.67,0
A_lr7e3_t04_r16,10.91,0
A_lr7e3_t05_r16,10.62,0
A_lr7e3_t05_r16_noDEC,10.75,0
A_lr7e3_t05_r16_s1,10.54,0
A_lr7e3_t05_r16_s2,10.45,0
A_lr7e3_t05_r16_s3,10.7,0
A_lr7e3_t05_r24,12.88,0
A_lr7e3_t05_r32,15.02,0
A_lr7e3_t05_r8,6.49,0
A_lr7e3_t06_r16,10.75,0
BPTT_REF,1.75,11
DS_narrow,10.82,0
DS_wide,11.16,0
DS_widebig,10.7,0
EVP_ADAMW,2.29,0
EVP_ADAMW_LSR,2.38,0
EVP_PE_PROBE_LSR,2.43,1
EVP_PRODIGYEVENT,2.37,1
EVP_PRODIGYEVENT_PROBE,2.43,0
P2_lr2e3_t05_r16,7.74,0
P2_lr2e3_t05_r8,5.69,0
P2_lr2e3_t06_r16,7.55,0
P2_lr2e3_t06_r8,4.75,0
P2_lr2e3_t07_r16,7.59,0
P2_lr2e3_t07_r8,4.73,0
P2_lr3e3_t05_r16,9.29,0
P2_lr3e3_t05_r8,6.1,0
P2_lr3e3_t06_r16,8.81,0
P2_lr3e3_t06_r8,5.78,0
P2_lr3e3_t07_r16,7.42,0
P2_lr3e3_t07_r8,5.52,0
PEAK_BASELINE,1.75,11
PEAK_SINGLECYCLE,4.0,9
PE_axis_gr101,6.47,0
PE_axis_gr105,2.89,0
PE_axis_lr03,5.46,0
