arm,nrmse_glob,nrmse_refit,data_glob,data_refit,phys_glob,phys_refit
PE_t05_gp0002,0.152,0.109,0.346,0.3212,0.1407,0.1182
ADAM_lr1e3_t08,0.233,0.109,0.2342,0.3297,0.0584,0.1261
ADAM_lr1e3_t10,0.264,0.109,0.2318,0.3339,0.0574,0.1302
ADAM_lr1e3_t12,0.222,0.11,0.2304,0.3246,0.0571,0.1202
ADAM_lr1e3_t14,0.273,0.111,0.2331,0.3267,0.0576,0.1219
ADAM_lr2e3_t08,0.291,0.115,0.2186,0.4214,0.0511,0.2272
ADAM_lr2e3_t10,0.258,0.115,0.2196,0.4592,0.0521,0.3006
ADAM_lr2e3_t12,0.283,0.107,0.23,0.3113,0.0563,0.1111
ADAM_lr2e3_t14,0.255,0.111,0.2466,0.3251,0.0653,0.1194
ADAM_lr3e3_t08,0.311,0.118,0.2161,0.4181,0.0495,0.2285
ADAM_lr3e3_t10,0.261,0.117,0.221,0.4721,0.0532,0.3103
ADAM_lr3e3_t12,0.242,0.11,0.2266,0.3765,0.0556,0.1754
ADAM_lr3e3_t14,0.309,0.108,0.2366,0.2891,0.0597,0.0921
ADAM_lr5e4_t08,0.254,0.111,0.2423,0.3284,0.0621,0.1207
ADAM_lr5e4_t10,0.24,0.11,0.2421,0.3112,0.0622,0.1075
ADAM_lr5e4_t12,0.252,0.112,0.2448,0.3319,0.0634,0.1273
ADAM_lr5e4_t14,0.269,0.112,0.2472,0.3169,0.0643,0.1128
A_lr15e2_t05_r16,0.195,0.112,0.2161,0.3679,0.0497,0.1626
A_lr1e2_t04_r16,0.193,0.112,0.2132,0.3552,0.049,0.1504
A_lr1e2_t05_r16,0.219,0.112,0.2045,0.3989,0.0451,0.1993
A_lr1e2_t05_r16_noDEC,0.275,0.109,0.2381,0.2986,0.0597,0.0988
A_lr1e2_t06_r16,0.213,0.112,0.2032,0.3847,0.0451,0.1922
A_lr5e3_t04_r16,0.206,0.113,0.2109,0.3843,0.0479,0.187
A_lr5e3_t05_r16,0.201,0.112,0.2109,0.3715,0.0479,0.1674
A_lr5e3_t06_r16,0.22,0.113,0.208,0.3922,0.0466,0.1912
A_lr7e3_t04_r16,0.209,0.112,0.2083,0.3744,0.0467,0.1725
A_lr7e3_t05_r16,0.202,0.112,0.2057,0.4266,0.0457,0.2494
A_lr7e3_t05_r16_noDEC,0.337,0.113,0.2168,0.3604,0.0504,0.1559
A_lr7e3_t05_r16_s1,0.233,0.115,0.2068,0.3653,0.046,0.1577
A_lr7e3_t05_r16_s2,0.233,0.115,0.205,0.4178,0.0452,0.2321
A_lr7e3_t05_r16_s3,0.248,0.118,0.2036,0.4586,0.0449,0.3002
A_lr7e3_t05_r24,0.224,0.114,0.2067,0.3691,0.0457,0.1702
A_lr7e3_t05_r32,0.224,0.113,0.2081,0.3672,0.0464,0.1654
A_lr7e3_t05_r8,0.218,0.113,0.2039,0.3904,0.0449,0.1967
A_lr7e3_t06_r16,0.203,0.11,0.2065,0.3387,0.0459,0.1336
BPTT_REF,0.195,0.122,0.6384,0.5038,0.5275,0.359
DS_narrow,0.201,0.113,0.2121,0.4298,0.0485,0.2543
DS_wide,0.356,0.13,0.2908,0.4013,0.091,0.2097
DS_widebig,0.325,0.122,0.2835,0.3158,0.0881,0.1128
EVP_ADAMW,0.216,0.114,0.2719,0.4008,0.0786,0.2033
EVP_ADAMW_LSR,0.291,0.11,0.272,0.3352,0.0795,0.1307
EVP_PE_PROBE_LSR,0.341,0.111,0.3673,0.3675,0.1455,0.1608
EVP_PRODIGYEVENT,0.341,0.111,0.3481,0.3619,0.1268,0.1555
EVP_PRODIGYEVENT_PROBE,0.327,0.111,0.3438,0.3713,0.129,0.1656
P2_lr2e3_t05_r16,0.207,0.111,0.2176,0.3187,0.0508,0.1144
P2_lr2e3_t05_r8,0.203,0.109,0.2179,0.301,0.0507,0.1004
P2_lr2e3_t06_r16,0.207,0.112,0.2177,0.3488,0.0514,0.1415
P2_lr2e3_t06_r8,0.217,0.111,0.2167,0.3056,0.0504,0.1035
P2_lr2e3_t07_r16,0.212,0.114,0.2149,0.3896,0.0496,0.1897
P2_lr2e3_t07_r8,0.223,0.111,0.2164,0.3049,0.0501,0.1033
P2_lr3e3_t05_r16,0.212,0.113,0.2153,0.3576,0.0493,0.154
