champion,profile,n_units,cycles_per_step,us_per_step,margin_x,utilization_pct
Raffaello,serial,1.0,11990,119.9,834.0283569641367,0.1199
Raffaello,8-unit,8.0,1500,15.0,6666.666666666667,0.015
Raffaello,32-unit,32.0,380,3.8,26315.78947368421,0.0038
Raffaello,full-unroll,,50,0.5,200000.0,0.0005
Leonardo,serial,1.0,11990,119.9,834.0283569641367,0.1199
Leonardo,8-unit,8.0,1500,15.0,6666.666666666667,0.015
Leonardo,32-unit,32.0,380,3.8,26315.78947368421,0.0038
Leonardo,full-unroll,,50,0.5,200000.0,0.0005
Donatello,serial,1.0,17110,171.1,584.4535359438925,0.1711
Donatello,8-unit,8.0,2140,21.4,4672.897196261682,0.0214
Donatello,32-unit,32.0,540,5.4,18518.51851851852,0.0054
Donatello,full-unroll,,50,0.5,200000.0,0.0005
Michelangelo,serial,1.0,17110,171.1,584.4535359438925,0.1711
Michelangelo,8-unit,8.0,2140,21.4,4672.897196261682,0.0214
Michelangelo,32-unit,32.0,540,5.4,18518.51851851852,0.0054
Michelangelo,full-unroll,,50,0.5,200000.0,0.0005
