champion,scenario,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
Raffaello,highway,0.33776637224923745,0.1603467121549452,0.01535424649455412,0.35652915862075374,0.19033699820834224
Raffaello,urban,0.7524328533764556,0.12275298097876094,0.10729246584123021,0.45541819082473783,0.3362849246717007
Raffaello,launch,0.44934724290445677,0.31042021442558587,0.05817887305199088,0.2739399933150558,0.4323576378368439
Raffaello,freeflow,0.3198103530568877,0.3160113496249953,0.04667570313073421,0.3499181830901367,0.44150872573573324
Raffaello,truck,0.6118950933058463,0.2858082102854496,0.09985767000867131,0.08273433895607767,0.3765126033999369
Raffaello,mixed,0.666550289383736,0.1503072059037755,0.0521643126161731,0.2965145701664529,0.20303647521090995
Leonardo,highway,0.19060291676350305,0.17560073764161435,0.14922286772609403,0.33790388751905703,0.15276201084428592
Leonardo,urban,0.304701667371339,0.10960794547865733,0.12984890108810843,0.3611879696612895,0.21327585591701892
Leonardo,launch,0.116181038689294,0.37528298476083743,0.10195217302771582,0.14221155085324222,0.3454574583902613
Leonardo,freeflow,0.14339140955559904,0.3696154096460543,0.1539233063293878,0.16461740616165063,0.44188983434437723
Leonardo,truck,0.2884183285427009,0.3193569648235629,0.06365688789040753,0.07499965229645852,0.40863544800793256
Leonardo,mixed,0.29870258960910745,0.11576947097969384,0.11346493946985611,0.26004275473670946,0.13117382959547494
Donatello,highway,0.12084774297560547,0.12914802206309567,0.03707920022860827,0.23364150767812825,0.08743711168820481
Donatello,urban,0.33514353094371074,0.20346177307564267,0.19337833676224206,0.35737851657253394,0.08451628420666082
Donatello,launch,0.10347807563626558,0.15800019803193627,0.06688561845852696,0.16110582382232266,0.06203607662095419
Donatello,freeflow,0.15715947346900483,0.12521294924511164,0.05635260458444214,0.17221015634610945,0.032562670729172405
Donatello,truck,0.1743225711339287,0.33338777500045963,0.09487628328285481,0.06227641605560467,0.28690394722830526
Donatello,mixed,0.2641162710866647,0.15683060070925559,0.0537842824472745,0.18907599681617207,0.10362939480585072
Michelangelo,highway,0.1487218312847575,0.14502310013078037,0.1402967028785693,0.30579109007757277,0.11771598140168546
Michelangelo,urban,0.26568364493626,0.1192251075540609,0.0667798436654917,0.28952311560300303,0.17482136288202874
Michelangelo,launch,0.1224990134536025,0.31585825158180214,0.053168062179019114,0.1794906436773869,0.28764939062293793
Michelangelo,freeflow,0.09718628390936579,0.43692600425598926,0.16158825453211623,0.1702256430713736,0.4051194956083518
Michelangelo,truck,0.25946540653276934,0.31025785198155353,0.06999467359703017,0.020811550359105396,0.3568304485249892
Michelangelo,mixed,0.26590173615585133,0.11013489737229053,0.05830607605592788,0.2070497903511698,0.11959934551999682
